what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1372193858501
stopped,bundle,org.eclipse.mylyn.ide.ant,3.8.3.v20130107-0100,"org.eclipse.mylyn.ide.ant",1372193858514
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.4.v201301111130,"org.eclipse.datatools.connectivity.oda.template.ui",1372193858544
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1372193858652
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1372193858692
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1372193858722
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1372193858776
stopped,bundle,org.jboss.tools.esb.project.ui,1.4.1.v20111111-0222-H200-Final,"org.jboss.tools.esb.project.ui",1372193858776
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1372193858848
stopped,bundle,org.jboss.tools.cdi.ui,1.1.1.v20111025-1225-H178-Final,"org.jboss.tools.cdi.ui",1372193858871
stopped,bundle,org.jboss.tools.cdi.xml.ui,1.0.0.v20111025-1225-H178-Final,"org.jboss.tools.cdi.xml.ui",1372193858896
stopped,bundle,org.jboss.tools.cdi.text.ext,1.1.1.v20111025-1225-H178-Final,"org.jboss.tools.cdi.text.ext",1372193858897
stopped,bundle,org.jboss.tools.maven.cdi,1.2.0.v20111027-1501-H240-Final,"org.jboss.tools.maven.cdi",1372193858957
stopped,bundle,org.jboss.tools.cdi.core,1.1.1.v20111025-1225-H178-Final,"org.jboss.tools.cdi.core",1372193858958
stopped,bundle,org.jboss.tools.esb.validator,1.3.0.v20111111-0222-H200-Final,"org.jboss.tools.esb.validator",1372193858974
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf.text.ext.richfaces",1372193858999
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf.text.ext.facelets",1372193859026
stopped,bundle,org.jboss.tools.seam.text.ext,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.text.ext",1372193859026
stopped,bundle,org.jboss.tools.jsf.text.ext,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf.text.ext",1372193859039
stopped,bundle,org.jboss.tools.jsf.ui,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf.ui",1372193859039
stopped,bundle,org.jboss.tools.jsf.verification,3.1.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.verification",1372193859048
stopped,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.1.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.vpe.ajax4jsf",1372193859159
stopped,bundle,org.jboss.tools.jsf.vpe.jbpm,1.0.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.vpe.jbpm",1372193859265
stopped,bundle,org.jboss.tools.jsf.vpe.jstl,3.1.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.vpe.jstl",1372193859286
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.2.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.vpe.richfaces",1372193859382
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.2.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.vpe.seam",1372193859444
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.2.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.vpe.jsf",1372193859503
stopped,bundle,org.jboss.tools.maven.seam,1.2.0.v20111027-1501-H240-Final,"org.jboss.tools.maven.seam",1372193859557
stopped,bundle,org.jboss.tools.maven.project.examples,1.0.0.v20111027-1501-H240-Final,"org.jboss.tools.maven.project.examples",1372193859570
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.1.0.v20111025-1337-H184-Final,"org.jboss.tools.project.examples.cheatsheet",1372193859597
stopped,bundle,org.jboss.tools.project.examples,1.2.1.v20111025-1337-H184-Final,"org.jboss.tools.project.examples",1372193859645
stopped,bundle,org.jboss.tools.runtime,1.2.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime",1372193859645
stopped,bundle,org.jboss.tools.seam.ui,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.ui",1372193859645
stopped,bundle,org.jboss.tools.seam.core,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.core",1372193859645
stopped,bundle,org.jboss.tools.jsf,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf",1372193859708
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.vpe.facelets",1372193859748
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.v20111027-1258-H202-Final,"org.jboss.tools.jsf.vpe.myfaces",1372193859778
